,artist,track,position,date
33754,Post Malone,White Iverson,21,2015-09-26
33775,Drake,Right Hand,17,2015-10-03
33781,Ty Dolla $ign Featuring Future & Rae Sremmurd,Blase,23,2015-10-03
33782,Lil Wayne & Charlie Puth,Nothing But Trouble (Instagram Models),24,2015-10-03
33797,Drake & Future,Jumpman,14,2015-10-10
33800,Fetty Wap,RGF Island,17,2015-10-10
33803,Drake & Future,Diamonds Dancing,20,2015-10-10
33804,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,21,2015-10-10
33806,Drake & Future,Big Rings,23,2015-10-10
33807,Drake & Future,Digital Dash,24,2015-10-10
33808,Drake & Future,Live From The Gutter,25,2015-10-10
33830,Drake & Future,Scholarships,22,2015-10-17
